,longitude,latitude,time_date,tweet,hashtags,follower_count,retweeted_status,retweet_count,weird,strange,weirder
91,-117.602,35.604,2019-07-23 10:40:06,"1.5 magnitude #earthquake. 7 km from Ridgecrest, CA, ##UnitedStates https://t.co/4QJ8XPPeF3","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
92,-117.602,35.604,2019-07-23 10:40:06,"1.5 magnitude #earthquake. 4 mi from Ridgecrest, #CA, #UnitedStates https://t.co/aqOMM6M8Xc","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,
93,-117.477,35.594,2019-07-23 08:55:04,"2.3 magnitude #earthquake. 18 km from ##Ridgecrest, CA, United States https://t.co/sXL8H0L1ke","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [39, 50]}",,,,,
94,-117.477,35.594,2019-07-23 08:55:04,"2.3 magnitude #earthquake. 11 mi from #Ridgecrest, CA, United States https://t.co/5Su3FJGgSb","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
95,-117.43,35.63,2019-07-23 08:13:33,M4.1 #earthquake (#sismo) strikes 22 km E of #Ridgecrest (#California) 28 min ago. Effects reported by eyewitnesses: https://t.co/xLDonfveoG,"{'text': 'earthquake', 'indices': [5, 16]}","{'text': 'sismo', 'indices': [18, 24]}","{'text': 'Ridgecrest', 'indices': [45, 56]}","{'text': 'California', 'indices': [58, 69]}",,,
96,-117.43,35.63,2019-07-23 08:10:03,M4.1 #earthquake (#sismo) strikes 22 km E of #Ridgecrest (#California) 25 min ago. Read eyewitnesses' stories &amp; sha… https://t.co/NRuulzidSw,"{'text': 'earthquake', 'indices': [5, 16]}","{'text': 'sismo', 'indices': [18, 24]}","{'text': 'Ridgecrest', 'indices': [45, 56]}","{'text': 'California', 'indices': [58, 69]}",,,
97,-117.65,35.826,2019-07-23 08:00:04,"1.5 magnitude #earthquake. 23 km from Ridgecrest, #CA, ##UnitedStates https://t.co/z9fGYb6sVn","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [56, 69]}",,,,
98,-117.65,35.826,2019-07-23 08:00:04,"1.5 magnitude #earthquake. 14 mi from Ridgecrest, CA, ##UnitedStates https://t.co/EFRZAYzec7","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
99,-117.594,35.613,2019-07-23 07:35:04,"2.0 magnitude #earthquake. 7 km from Ridgecrest, #CA, #UnitedStates https://t.co/2K0ENoFAtz","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,
100,-117.594,35.613,2019-07-23 07:35:04,"2.0 magnitude #earthquake. 4 mi from Ridgecrest, CA, #UnitedStates https://t.co/U49eETajSu","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
101,-117.52,35.673,2019-07-23 06:25:05,"2.0 magnitude #earthquake. 15 km from Ridgecrest, #CA, #UnitedStates https://t.co/sHH9k9o6Cy","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,
102,-117.52,35.673,2019-07-23 06:25:05,"2.0 magnitude #earthquake. 9 mi from Ridgecrest, #CA, #UnitedStates https://t.co/NvEZCrqowp","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,
103,-117.549,35.641,2019-07-23 05:15:04,"1.9 magnitude #earthquake. 11 km from Ridgecrest, CA, ##UnitedStates https://t.co/EojMFB94x3","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
104,-117.549,35.641,2019-07-23 05:15:04,"1.9 magnitude #earthquake. 7 mi from Ridgecrest, CA, #UnitedStates https://t.co/6GrrECZKfj","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
105,-117.603,35.648,2019-07-23 01:45:04,"1.7 magnitude #earthquake. 7 km from Ridgecrest, CA, #UnitedStates https://t.co/LQOBWTAU86","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
106,-117.603,35.648,2019-07-23 01:45:04,"1.7 magnitude #earthquake. 4 mi from Ridgecrest, #CA, United States https://t.co/8g6iS8TU9x","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}",,,,,
107,-117.55,35.74,2019-07-23 01:44:04,M3.9 #earthquake (#sismo) strikes 17 km NE of #Ridgecrest (#California) 8 min ago. Effects reported by eyewitnesses: https://t.co/SF85PngmPD,"{'text': 'earthquake', 'indices': [5, 16]}","{'text': 'sismo', 'indices': [18, 24]}","{'text': 'Ridgecrest', 'indices': [46, 57]}","{'text': 'California', 'indices': [59, 70]}",,,
108,-117.55,35.74,2019-07-23 01:42:03,M3.9 #earthquake (#sismo) strikes 17 km NE of #Ridgecrest (#California) 6 min ago. Read eyewitnesses' stories &amp; sha… https://t.co/QHgJbCWfru,"{'text': 'earthquake', 'indices': [5, 16]}","{'text': 'sismo', 'indices': [18, 24]}","{'text': 'Ridgecrest', 'indices': [46, 57]}","{'text': 'California', 'indices': [59, 70]}",,,
109,-117.55,35.74,2019-07-23 01:39:33,Felt #earthquake (#sismo) M3.9 strikes 17 km NE of #Ridgecrest (#California) 3 min ago. Please report to:… https://t.co/Iw8SFNuLA3,"{'text': 'earthquake', 'indices': [5, 16]}","{'text': 'sismo', 'indices': [18, 24]}","{'text': 'Ridgecrest', 'indices': [51, 62]}","{'text': 'California', 'indices': [64, 75]}",,,
110,-117.499,35.636,2019-07-23 01:05:05,"1.5 magnitude #earthquake. 16 km from Ridgecrest, #CA, United States https://t.co/rsdws41J3B","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}",,,,,
111,-117.499,35.636,2019-07-23 01:05:04,"1.5 magnitude #earthquake. 10 mi from Ridgecrest, #CA, United States https://t.co/eTB2FMZzpt","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}",,,,,
112,-117.56,35.673,2019-07-22 23:05:05,"1.7 magnitude #earthquake. 12 km from Ridgecrest, #CA, ##UnitedStates https://t.co/CefwvfMMsA","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [56, 69]}",,,,
113,-117.56,35.673,2019-07-22 23:05:05,"1.7 magnitude #earthquake. 7 mi from Ridgecrest, CA, ##UnitedStates https://t.co/dIjWCUFuE1","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
114,-117.632,35.799,2019-07-22 22:50:05,"2.2 magnitude #earthquake. 20 km from ##Ridgecrest, CA, United States https://t.co/7tzN7bsWNp","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [39, 50]}",,,,,
115,-117.632,35.799,2019-07-22 22:50:04,"2.2 magnitude #earthquake. 12 mi from #Ridgecrest, CA, United States https://t.co/RCc6PhCmy0","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}",,,,,
116,-117.565,35.662,2019-07-22 21:45:32,"2.1 magnitude #earthquake. 11 km from Ridgecrest, CA, ##UnitedStates https://t.co/Yuu4mHjXkc","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
