created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Thu Sep 06 13:21:37 +0000 2018,2,[],,,0,A wildfire pump that uses your swimming pool water with a giant soaker hose laid out across your roof can save your… https://t.co/R8w1vTzgSi
Thu Sep 06 13:18:20 +0000 2018,0,[],,,0,RT @saftgard: Saf-T-Gard is honored to contribute to disaster recovery by donating several thousand dollars’ worth in safety products to @G…
Thu Sep 06 12:55:06 +0000 2018,5,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster', 'BEER']",,,1,VAN DELL Pendant Brooch Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster #BEER… https://t.co/nG272mZDXa
Thu Sep 06 12:38:40 +0000 2018,0,['CarrFire'],,,0,RT @rachelkeas: Thank you @mPinoe! Our community has been through so much and this means a lot to us. #CarrFire https://t.co/EnkwK0rOFA
Thu Sep 06 12:35:07 +0000 2018,3,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,Vintage Rhinestone Brooch Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster… https://t.co/hGTzDaIakN
Thu Sep 06 12:21:27 +0000 2018,6,"['CarrFire', 'Hirz', 'DeltaFire']",,,0,@MaineRangers Thank you for coming to our aid again. First the #CarrFire then #Hirz Fire and now #DeltaFire. Northe… https://t.co/RIyygMbVVt
Thu Sep 06 12:15:06 +0000 2018,2,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,AVON Stick Pin GRACEFUL TULIP Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster… https://t.co/zWRX9e6DIZ
Thu Sep 06 12:13:47 +0000 2018,0,"['WearEver', 'CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,RT @_VINTAGEJEWELRY: #WearEver Zenith FOUNTAIN PEN Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster #B…
Thu Sep 06 12:13:20 +0000 2018,0,"['rotring', 'CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster', 'BEER']",,,0,RT @_VINTAGEJEWELRY: FOUNTAIN PEN #rotring Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster #BEER #Win…
Thu Sep 06 12:12:59 +0000 2018,0,"['Tankard', 'Barware', 'CarrFIRE', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,RT @_VINTAGEJEWELRY: HAPPY HOBOES BEER STEIN #Tankard #Barware Ebay Link In Bio #CarrFIRE VICTIM #Coffee #Props #Cosplay #Anime #PropMaster…
Thu Sep 06 12:12:25 +0000 2018,0,"['JohnAscuagasNugget', 'TRADERDICKS', 'reno', 'CarrFIRE', 'Coffee', 'Props', 'Cosplay']",,,0,RT @_VINTAGEJEWELRY: TIKI Surfer Girl #JohnAscuagasNugget #TRADERDICKS #reno Ebay Link In Bio #CarrFIRE VICTIM #Coffee #Props #Cosplay #Ani…
Thu Sep 06 12:12:03 +0000 2018,0,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,RT @_VINTAGEJEWELRY: BEER TANKARD Japan DOG HANDLE Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster #B…
Thu Sep 06 12:11:59 +0000 2018,0,"['Stein', 'CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster', 'BEER']",,,0,RT @_VINTAGEJEWELRY: Miller High Life #Stein Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster #BEER #W…
Thu Sep 06 12:11:59 +0000 2018,0,"['BreakingNews', 'MendocinoComplexFires', 'Redding']",,,0,"Abandoned trucks litter California highway as wildfire rages
#BreakingNews
#MendocinoComplexFires
#Redding… https://t.co/DX1DW7zRJs"
Thu Sep 06 12:11:56 +0000 2018,0,['cancer'],,,0,"RT @Emma__Peel: do you have #cancer causing dangerous cell towers real close to your home, find out here &gt;existing and future towers, anten…"
Thu Sep 06 12:10:35 +0000 2018,0,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster', 'BEER', 'Wine', 'Dab', 'Weed', 'Festival']",,,0,RT @_VINTAGEJEWELRY: CLICK BIO LINK #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster #BEER #Wine #Dab #Weed #Festival #…
Thu Sep 06 12:10:13 +0000 2018,0,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,RT @_VINTAGEJEWELRY: TANCER II Christmas Tree BROOCH Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster…
Thu Sep 06 12:00:08 +0000 2018,0,['cancer'],,,1,"do you have #cancer causing dangerous cell towers real close to your home, find out here &gt;existing and future tower… https://t.co/F3SwhgYXSL"
Thu Sep 06 11:25:05 +0000 2018,1,"['CarrFIRE', 'Jewelry', 'Coffee', 'Props', 'Cosplay', 'Anime', 'PropMaster']",,,0,AVON Rhinestone Bracelet Ebay Link In Bio #CarrFIRE VICTIM #Jewelry #Coffee #Props #Cosplay #Anime #PropMaster… https://t.co/86RMfgHIin
Thu Sep 06 11:07:32 +0000 2018,0,"['Pewter', 'Barware', 'CarrFIRE', 'brew', 'Props', 'Cosplay', 'Anime']",,,0,RT @_VINTAGEJEWELRY: GERMAN ZINN Lions Club Firth #Pewter W. Oro #Barware Ebay Link In Bio #CarrFIRE VICTIM #brew #Props #Cosplay #Anime #P…
Thu Sep 06 11:05:09 +0000 2018,3,"['Pewter', 'Barware', 'CarrFIRE', 'brew', 'Props', 'Cosplay', 'Anime']",,,1,GERMAN ZINN Lions Club Firth #Pewter W. Oro #Barware Ebay Link In Bio #CarrFIRE VICTIM #brew #Props #Cosplay #Anime… https://t.co/hagPAuDn9C
Thu Sep 06 10:23:55 +0000 2018,0,"['HirzFire', 'Shasta', 'Redding', 'CarrFire', 'DeltaFire']",,,0,"#HirzFire #Shasta Co NE of #Redding/#CarrFire/E of #DeltaFire
WedAM=&gt;PM 46,142 70%=&gt;75%
1764=&gt;1,393 FFs
INFO:… https://t.co/D42WxE7Xaz"
Thu Sep 06 09:44:07 +0000 2018,0,"['DeltaFire', 'CarrFire']",,,0,How does #DeltaFire have anything left to burn?!? Isn't that almost exactly the area #CarrFire took out only a month and a half ago?
Thu Sep 06 09:23:29 +0000 2018,0,[],,,0,RT @NastyWomenofNPS: Just a reminder that the Amazon wishlist is being updated with new items for the 15 National Park Rangers and their fa…
Thu Sep 06 08:09:30 +0000 2018,0,"['CarrFire', 'hirzFire', 'DeltaFire']",,,0,RT @SeeShasta: On fire overload here.  #CarrFire #hirzFire and now #DeltaFire. All human caused. https://t.co/UmwzZA4lLb
Thu Sep 06 08:04:13 +0000 2018,0,"['CarrFire', 'hirzFire', 'DeltaFire']",,,0,RT @SeeShasta: On fire overload here.  #CarrFire #hirzFire and now #DeltaFire. All human caused. https://t.co/UmwzZA4lLb
Thu Sep 06 07:01:22 +0000 2018,0,"['mapping', 'data']",,,0,"RT @WeRobotics: From quick on-the-ground training in #mapping and 360-imaging, to rapid #data management to feed public GIS systems, learn…"
Thu Sep 06 07:01:18 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 06:50:02 +0000 2018,0,['DeltaFire'],,,0,"RT @jaclyncosgrove: Carol Underhill, @ShastaTrinityNF public affairs officer, told me that the #DeltaFire was initially two acres but has g…"
Thu Sep 06 06:48:52 +0000 2018,0,"['CarrFire', 'hirzFire', 'DeltaFire']",,,0,RT @SeeShasta: On fire overload here.  #CarrFire #hirzFire and now #DeltaFire. All human caused. https://t.co/UmwzZA4lLb
Thu Sep 06 06:47:29 +0000 2018,0,"['mapping', 'data']",,,0,"RT @WeRobotics: From quick on-the-ground training in #mapping and 360-imaging, to rapid #data management to feed public GIS systems, learn…"
Thu Sep 06 06:47:10 +0000 2018,0,"['CarrFire', 'HirzFire', 'DeltaFire']",,,0,RT @jeffwitt: Firefighters 🔥 from the #CarrFire and the #HirzFire are now battling the #DeltaFire ... these guys are real heroes 🙏  #Reddin…
Thu Sep 06 06:47:06 +0000 2018,0,"['CarrFire', 'thankyou', 'FirstResponders']",,,0,"RT @KreiderCourtney: The #CarrFire is 100% contained. What a fight. 
#thankyou #FirstResponders 
https://t.co/mWMVcmdNz0 
@CALFIRESHU @Shas…"
Thu Sep 06 06:46:58 +0000 2018,0,['California'],,,0,"RT @NBCian: Smoke still fills Northern #California, from Redding...north for 50 miles. This is Shasta Lake today. Unfortunately not much wi…"
Thu Sep 06 06:46:31 +0000 2018,0,[],,,0,RT @CalDisasters: @EPN473 #DeltaFire will physically link #CarrFire with #HirzFire to create new biggest fire in CA history if #MendocinoCo…
Thu Sep 06 06:45:26 +0000 2018,0,"['CarrFire', 'wildfire']",,,0,"RT @forestservice: The #CarrFire is now 93 percent contained. This #wildfire currently covers 229,651 acres in California. More than 1,590…"
Thu Sep 06 06:44:43 +0000 2018,0,['CarrFire'],,,0,RT @ShastaTrinityNF: The #CarrFire is 100% contained https://t.co/cuYFALcGoA
Thu Sep 06 06:44:08 +0000 2018,0,[],,,0,RT @SFmeteorologist: Surface air quality &amp; MODIS image for California this afternoon (Aug 8). Wildfire smoke resulting in widespread unheal…
Thu Sep 06 06:33:26 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 06:33:05 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 06:25:43 +0000 2018,10,"['CarrFire', 'hirzFire', 'DeltaFire']",,,5,On fire overload here.  #CarrFire #hirzFire and now #DeltaFire. All human caused. https://t.co/UmwzZA4lLb
Thu Sep 06 06:15:28 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:50:35 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:50:35 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:50:33 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:50:33 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:34:05 +0000 2018,5,['CarrFire'],,,1,Thank you @mPinoe! Our community has been through so much and this means a lot to us. #CarrFire https://t.co/EnkwK0rOFA
