,created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
1808,Tue Jan 29 00:30:05 +0000 2019,0,"['CampFire', 'Paradise', 'PleaseSupport', 'PleaseHelp', 'Donate']",,,0,"🌐SUPPORT SHARE RETWEET🌐
♥️ Koopen Fire Relief Fund ♥️
#CampFire #Paradise #PleaseSupport #PleaseHelp #Donate… https://t.co/sBpOEOqqXJ"
1809,Tue Jan 29 00:27:08 +0000 2019,1,[],,,0,Wesley has landed in a new planet. It's a whole different world to be explored. Will he be able to survive in this… https://t.co/1QgmxuMaOs
1810,Tue Jan 29 00:26:42 +0000 2019,7,"['ResilenceIPA', 'CampFire']",,,3,This is amazing and awesome. Well done Owen!! 👍👍 #ResilenceIPA #CampFire https://t.co/JPqOZKHKz3
1811,Tue Jan 29 00:26:14 +0000 2019,0,['CampFire'],,,0,RT @WCKitchen: WCK’s @SamBloch1 reports from our free pop-up restaurant in Chico where we are serving those displaced by the #CampFire! #Ch…
1812,Tue Jan 29 00:24:04 +0000 2019,0,[],,,0,"RT @Jasamsdestiny: Another rescued beauty
This girl as a small white patch on chest
Found at 5527 Edgewood  ⬅️

Is she yours?
PM Jenni Vine…"
1813,Tue Jan 29 00:23:13 +0000 2019,0,['A015482'],,,0,"RT @Jasamsdestiny: Female black with small white patch on chest 
Found: South Libby in Paradise  ⬅️
Paradise Animal Shelter Inmate #A015482…"
1814,Tue Jan 29 00:22:53 +0000 2019,0,['CampFire'],,,0,"RT @BCWildfireToday: ""WILLING TO FOSTER A PET UNTIL OWNER IS FOUND?""

FROM @ChaliceGarden's #CampFire EVACUEE RESOURCE DOCUMENT:
 https://t…"
1815,Tue Jan 29 00:22:31 +0000 2019,0,"['Paradise', 'furparent']",,,0,RT @Jasamsdestiny: This floofy boy is a #Paradise baby but has ended up in Colorado.  Person will gladly return it if #furparent is ID'd.…
1816,Tue Jan 29 00:20:28 +0000 2019,0,"['wildfires', 'CampFire']",,,0,RT @PaulRogersSJMN: California 2018 wildfires: $12.4 billion in insured losses and growing https://t.co/9GzMhw58dL #wildfires #CampFire htt…
1817,Tue Jan 29 00:19:01 +0000 2019,0,"['didyouknow', 'campfire', 'California', 'disaster']",,,0,RT @MunichRe: #didyouknow that #campfire in #California ended up as the costliest natural #disaster of 2018 globally with overall losses of…
1818,Tue Jan 29 00:18:02 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1819,Tue Jan 29 00:17:11 +0000 2019,0,"['CampFire', 'CampFirePets']",,,0,"RT @ChaliceGarden: #CampFire #CampFirePets
Our resource doc is 70 pgs (prior disasters avg 10-12)! Updated, verified. If you need something…"
1820,Tue Jan 29 00:16:52 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
