index,word_count
labordayweekend,6
harveyrelief,5
people https,5
professionals,5
bed,5
hour,5
relief fund,5
recover,5
pass,5
raise money,5
outside,5
arthur,5
quickly,5
hours,5
summit,5
home hurricaneharvey,5
stories,5
help donate,5
stuff,5
redcross https,5
picture,5
army,5
students,5
pic,5
access,5
prepare,5
relate,5
strike,5
support victims,5
suffer,5
authorities,5
ho,5
arcgoldcountry,5
kid,5
responders,5
important,5
hurricaneharvey texasstrong,5
save live,5
louisiana,5
hurricaneharveyrelief hurricaneharvey,5
shit,5
look like,5
capitalism,5
local,5
shelter hurricaneharvey,5
campfirejameswoods,5
campfire paradise,5
safety,5
shastasheriff,5
alert,5
involve,5
list,5
september,5
jakepaul,5
aid https,5
serve,5
lake eastbound,5
joelosteen,5
magalia,5
hurricaneharvey need,5
operationbless,5
smoke plume,5
old,5
oh,5
officials,5
spot,5
spirit,5
amp help,5
hu,5
huge,5
nra,5
la,5
buckhorn,5
buttecounty,5
need https,5
buckhorn summit,5
carr update,5
aftermath hurricaneharvey,5
rt engineco16,5
national park,5
hurricaneharvey amp,5
hurricaneharvey charity,5
rt samaritanspurse,5
rt uscgheartland,5
communities,5
assist whiskeytown,5
encourage,5
toxic,5
devastate hurricaneharvey,5
whiskey creek,5
declare,5
today https,5
deal,5
days,5
future,5
chemical plant,5
whiskeytown national,5
whiskeytown nra,5
dallas,5
500 acre,5
daily https,5
currently,5
current,5
thing,5
th,5
develop,5
difference,5
text,5
directly,5
evacuation shelter,5
update wildfire,5
far,5
engineco16,5
type,5
30,5
effort,5
eastbound closure,5
eastbound,5
video https,5
trump donate,5
flood victims,5
1m,5
1500 acres,5
district,5
1500,5
transportation,5
create,5
whiskey,5
uscgheartland,5
abandon,5
contribute,5
wish,5
terrify,5
tear,5
gulch issue,5
abc13houston,5
800,5
year,5
texas louisiana,5
ha,5
covhouseprez,5
covenanthousetx,5
salads hurricaneharvey,4
salads,4
mark,4
drop,4
cal assist,4
make donation,4
san,4
dry,4
consider,4
recommend,4
cal shu,4
drivers,4
members affect,4
match donations,4
cafire https,4
medical aid,4
meet,4
prove,4
vp,4
safe hurricaneharvey,4
safe campfire,4
michael,4
wait,4
donate help,4
donate american,4
donate 24,4
come hurricaneharvey,4
earlier,4
concern,4
lt,4
engines,4
assist hurricaneharvey,4
cam,4
company base,4
usnavy,4
lake https,4
lapse,4
caltransd2 sr,4
vegetable,4
evacs,4
vegetable package,4
verizon,4
seiu,4
caltrans district,4
lie,4
caltrans,4
receive,4
vice,4
school calfireshu,4
compare,4
engine,4
25,4
scene,4
24 000,4
locate,4
complete,4
employee,4
calfire_butteco,4
loot,4
probably,4
effect hurricaneharvey,4
water hurricaneharvey,4
covhouseprez covenanthousetx,4
closure buckhorn,4
apio,4
best,4
county 1500,4
benefit hurricaneharvey,4
126 acres,4
port arthur,4
women,4
day prayer,4
county california,4
dangerous,4
package,4
package company,4
page,4
believe,4
paradise california,4
apio vegetable,4
district caltransd2,4
woman,4
126,4
park wildfire,4
cover,4
plan,4
battle,4
people affect,4
11,4
000 salads,4
percent contain,4
relief donate,4
beaumont texas,4
crew,4
creek road,4
ongoing,4
ones,4
death,4
retweeted cal,4
mountain rd,4
multiple,4
nbcnews,4
wtf,4
commit,4
prayfortexas https,4
150,4
nearby,4
nearly,4
baby,4
need hurricaneharvey,4
didn,4
neighbor help,4
neighborhood,4
bucket,4
bank,4
americans texas,4
collect donations,4
rt abc13houston,4
amp donate,4
krcr7,4
defend,4
word,4
nwseureka,4
potential,4
obama iran,4
retweeted caltrans,4
base guadalupe,4
office,4
napa,4
houstonflood hurricaneharvey,4
hurricaneharvey prayfortexas,4
hurricaneharvey join,4
site,4
fly,4
flotus,4
hurricaneharvey houstonflood,4
sister,4
hurricaneharvey htt,4
sign,4
shu calfireshu,4
shu,4
hurricaneharvey indian,4
flood insurance,4
sky,4
flood hurricaneharvey,4
strike team,4
flood houston,4
hurricaneharvey rescue,4
help thousands,4
trend,4
summit amp,4
acres 15,4
challenge,4
shift,4
fo,4
hometown,4
carrfire weaverville,4
till,4
carrfire 000,4
fuck,4
space,4
southern,4
gas price,4
actually,4
today hurricaneharvey,4
friend,4
carrfire 500,4
fraud,4
thunderstorms,4
acres percent,4
hurr,4
thousands food,4
hurrica,4
thoughts affect,4
stick,4
stock,4
things,4
food medical,4
skyway,4
hurricaneharvey donations,4
shelter open,4
additional,4
try escape,4
harveyflood,4
gt gt,4
guadalupe,4
issue evacuation,4
indian americans,4
update shelter,4
info https,4
instead,4
campfire near,4
gulch 350,4
hear hurricaneharvey,4
shasta https,4
tweet,4
families affect,4
survivors https,4
feel,4
guy,4
health,4
iran,4
abt,4
irma harvey,4
tech,4
family try,4
indian,4
guadalupe donate,4
grow 000,4
urbselect,4
uscgheartland uscg,4
imagery,4
helicopter,4
shelter carrfire,4
experience,4
sr299,3
ss,3
sr299 west,3
relief hurricaneharvey,3
tcot,3
anticipate,3
sr 36w,3
step,3
survive,3
add residents,3
response team,3
500 000,3
anchor,3
respond,3
yesterday,3
realjameswoods important,3
assist calfireshu,3
time lapse,3
state https,3
actionnewsnow https,3
residents whiskey,3
residents east,3
team members,3
remove,3
answer,3
anticipate remain,3
resident,3
real,3
rescuers prove,3
relief houston,3
thank https,3
yes,3
texas need,3
99,3
submerge,3
texas home,3
arkema,3
submerge water,3
suggest,3
texas fee,3
register,3
regions,3
woods,3
sunday,3
superfund,3
superfund sit,3
000 hurricaneharvey,3
areas affect,3
redcross safe,3
area https,3
world,3
student,3
white,3
tip,3
wife,3
12,3
store,3
support redcross,3
arrive,3
thank help,3
year old,3
70,3
recovery efforts,3
app,3
acres actionnewsnow,3
win,3
th https,3
ya,3
release,3
story https,3
texyellowdogdem,3
usdanutrition,3
westboun,3
rest,3
truck https,3
video campfire,3
video carrfire,3
alert sr,3
video family,3
amanbatheja,3
saturday,3
agencies,3
30 000,3
trust,3
30pm,3
shltr,3
scam,3
samaritanspurse volunteer,3
shock,3
sales,3
shortwave,3
36 million,3
tree,3
travelers,3
shortwave ir,3
sahumane,3
1st responders,3
turn,3
victims thank,3
retweet,3
vehicles,3
set,3
28,3
use sr,3
share friends,3
aid hurricaneharvey,3
update evac,3
september 2017,3
update carrfire,3
vegetation carr,3
send love,3
akcdoglovers,3
scar,3
second evacuation,3
second,3
update cal,3
screenshot,3
school close,3
299w anticipate,3
unite,3
unhealthy,3
ago,3
able,3
trap,3
volunteer help,3
shout,3
affect hurricane,3
rt buttesheriff,3
rt akcdoglovers,3
toll,3
west trinity,3
shame,3
westboun https,3
rock,3
robelvington,3
road north,3
road near,3
amp sr299,3
safe website,3
southwest,3
rid,3
review,3
speak,3
retweeted nws,3
spend,3
36w,3
13,3
whiskeytown carrfire,3
amp westboun,3
total,3
rt caltransd2,3
toxic masculinity,3
track,3
russia,3
rt usdanutrition,3
walmart,3
18 000,3
18,3
rt texyellowdogdem,3
rt sahumane,3
way help,3
size,3
rt realdonaldtrump,3
way hurricaneharvey,3
transportation follow,3
rt operationbless,3
rt nuriddinarc,3
tragedy,3
traffic alert,3
15 containment,3
small communities,3
smell,3
smell smoke,3
track hurricaneharvey,3
teach,3
near weaverville,3
assistance https,3
help hurt,3
hand,3
happy help,3
harris,3
cawx cafire,3
catastrophic,3
harvey relief,3
harveyrelief hurricaneharvey,3
hay,3
hazard,3
head texas,3
health professionals,3
cartoon,3
hearts affect,3
helloseptember,3
carrpowerhouserd,3
help houstonflood,3
carrfire sr,3
center bapt,3
center carrfire,3
gt 500,3
chico campfire,3
foundation,3
fr,3
chp,3
children,3
fridayfeeling,3
friends texas,3
fro,3
generosity,3
center https,3
generous,3
glad,3
gma,3
good luck,3
gov,3
great way,3
grind,3
carrfire second,3
help make,3
hurt hurricaneharvey,3
help people,3
houstonspca,3
carrfire 299,3
carrfire 126,3
houstonstrong hurricaneharveyrelief,3
hundreds,3
hur,3
hurric,3
hurricaneh,3
hurricaneharv,3
hurricaneharvey check,3
hurricaneharvey donation,3
hurricaneharvey ha,3
hurricaneharvey harvey2017,3
hurricaneharvey hit,3
hurricaneharvey hurricaneharveyrelief,3
hurricaneharvey hurricaneirma,3
hurricaneharvey product,3
houstonians,3
houstonfloods,3
carrfire 350,3
hey,3
help raise,3
help shelter,3
help small,3
help way,3
helpforharvey,3
helpforhouston hurricaneharvey,3
heroes https,3
high https,3
houston rescuers,3
highway 299w,3
assistance hurricaneharvey,3
hotel,3
hotline,3
houston harvey,3
houston home,3
houston prayers,3
follow look,3
follow hurricaneharvey,3
cities,3
firefighters https,3
death toll,3
deck,3
dedicate,3
dell,3
deploy,3
destroy,3
die,3
difference https,3
directions,3
directrelief,3
closure https,3
disaster response,3
displace hurricaneharvey,3
diss,3
diss track,3
doesn look,3
dog cat,3
dc,3
damage hurricaneharvey,3
clothe,3
county ca,3
compassion,3
conroehigh,3
containment sr,3
contribution,3
control,3
count,3
county 350,3
county hurricaneharvey,3
cloud,3
coverage,3
cowboys,3
crisis,3
crosby texas,3
club,3
customers affect,3
dad,3
dog food,3
dollars,3
close vegetation,3
extreme,3
evac order,3
clear,3
evacuate campfire,3
event,3
expect,3
expertise,3
expertise hurricaneharvey,3
facebook,3
eureka nwseureka,3
fakenews,3
fall,3
civilairpatrol,3
fan,3
far https,3
favorite,3
fellow texans,3
evac center,3
eureka,3
donald,3
drive https,3
close tomorrow,3
donate 10,3
donate expertise,3
donation drive,3
close directions,3
donations far,3
climatechange product,3
duty,3
establish,3
climate,3
efforts help,3
email,3
enforcement,3
enforcement transportation,3
engine strike,3
engineco16 carrfire,3
hurricaneharvey story,3
hold,3
hurricaneharvey visit,3
piano,3
miles away,3
mike_pence,3
michael dell,3
message,3
mental health,3
mental,3
men,3
mean,3
masculinity,3
mandatory,3
man,3
make sure,3
make difference,3
cal say,3
luck,3
love ones,3
louisiana flood,3
cal_fire https,3
lose pet,3
longer,3
parent,3
calfireshu shastasheriff,3
begin,3
person,3
personal,3
live hurricaneharvey,3
personally,3
mission,3
monday,3
business,3
open shasta,3
nws eureka,3
nws,3
bigger,3
offer free,3
officer,3
nuriddinarc update,3
nuriddinarc,3
oil,3
okay,3
online,3
notice,3
north hwy,3
order add,3
monitor,3
organizations,3
njcaa,3
night,3
news hurricaneharvey,3
boat,3
burn 000,3
burn hot,3
near chico,3
burn near,3
nc,3
burn nearby,3
music,3
pet hurricaneharvey,3
masculinity https,3
pm https,3
law enforcement,3
bapt,3
later,3
lake high,3
powerhouse road,3
bad,3
jeffbezos,3
available,3
product climatechange,3
professionals donate,3
hwy299 carrpowerhouserd,3
illinois,3
promise,3
radar,3
krcrphoto,3
campfire smoke,3
pyrocumulus,3
campfire burn,3
prove lie,3
little,3
instead https,3
jjwatt hurricaneharvey,3
ir,3
ir product,3
jakepaul diss,3
austinpetsalive,3
law,3
prayers affect,3
leadership,3
politics,3
rapid,3
austin,3
likely,3
light,3
lie toxic,3
link,3
portion,3
power,3
bapt https,3
level,3
lemonade stand,3
lemonade,3
organizations https,2
oregon https,2
responder,2
feedingamerica,2
fergusonfire 36,2
oroville,2
cleanup,2
class,2
claim,2
fergusonfire,2
fell,2
feds,2
civilians,2
fee animals,2
response hurricaneharvey,2
feds hurricaneharvey,2
ojai,2
collect items,2
federal,2
collection,2
fd send,2
ridiculous,2
ride,2
nwseureka law,2
color,2
oak,2
civil,2
ot,2
rent pay,2
ot hurricaneharvey,2
remnants hurricaneharvey,2
recovery https,2
recovery likely,2
recovery sure,2
fighters,2
closure remain,2
redcrossphilly,2
remind,2
paradise https,2
redding https,2
paradiseca,2
redtraccoon,2
refineries,2
refineries poison,2
parent drive,2
region,2
partner convoyofhope,2
closure place,2
remnants,2
cnn just,2
outpouring,2
pack,2
outpouring support,2
click donate,2
click read,2
rescue hurricaneharvey,2
outsource,2
report hundreds,2
outsource loot,2
replamalfa carrfire,2
climatechange hurricaneharvey,2
replamalfa,2
rental,2
rent,2
close https,2
coast,2
close near,2
close oak,2
remove squatter,2
fight,2
cancel,2
finally,2
static,2
station,2
stay strong,2
steal,2
steep,2
carrfire doesn,2
carrfire duty,2
carrfire evacuate,2
carrfire evacuations,2
storm hurricaneharvey,2
