created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Sun Dec 02 15:34:53 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Sun Dec 02 15:15:23 +0000 2018,0,"['flyinghorsedesigncom', 'photographer', 'photooftheday']",39.826,-121.603,0,"remember Paradise 
visit our website link in bio 
.
.
.
.
.
#flyinghorsedesigncom #photographer #photooftheday… https://t.co/PPCKXu2tke"
Sun Dec 02 15:11:27 +0000 2018,0,['flyinghorsedesigncom'],39.7617,-121.609,0,"my family and animals all survived the 🔥...and my 📷 
remember Paradise 
.
.
.
.
.
#flyinghorsedesigncom… https://t.co/9Eaiygk1C6"
Sun Dec 02 15:02:42 +0000 2018,0,['flyinghorsedesigncom'],39.7617,-121.609,0,"backyard beauty
remembering Paradise 
...visit our website link in bio 
.
.
.
.
.
#flyinghorsedesigncom… https://t.co/I0JGtUxCTy"
Sun Dec 02 14:56:43 +0000 2018,0,"['flyinghorsedesigncom', 'photographer']",39.7617,-121.609,0,"remember Paradise 
...visit our website and Redbubble store
.
.
.
.
.
#flyinghorsedesigncom #photographer… https://t.co/lQBJfcrzl0"
Sun Dec 02 14:55:41 +0000 2018,0,"['flyinghorsedesigncom', 'photographer']",39.7617,-121.609,0,"remember Paradise 
...visit our website and Redbubble store
.
.
.
.
.
#flyinghorsedesigncom #photographer… https://t.co/MxHUHx1RQJ"
Sun Dec 02 14:54:45 +0000 2018,1,"['flyinghorsedesigncom', 'photographer']",39.7617,-121.609,0,"remember Paradise 
...visit our website and Redbubble store
.
.
.
.
.
#flyinghorsedesigncom #photographer… https://t.co/DfDOs2ZjhG"
Sun Dec 02 14:44:23 +0000 2018,1,"['flyinghorsedesigncom', 'photographer', 'photooftheday', 'love']",39.7617,-121.609,0,"Feather River Canyon 
memories of Paradise 
.
.
.
.
.
#flyinghorsedesigncom #photographer #photooftheday #love… https://t.co/0FLLOSXQCm"
Sun Dec 02 14:44:01 +0000 2018,0,"['flyinghorsedesigncom', 'photographer', 'photooftheday', 'love']",39.7617,-121.609,0,"Snow ⛄️ in Paradise 
memories of Paradise 
.
.
.
.
.
#flyinghorsedesigncom #photographer #photooftheday #love… https://t.co/KgYmJczuVz"
Sun Dec 02 14:42:32 +0000 2018,0,"['flyinghorsedesigncom', 'photographer', 'photooftheday', 'love', 'photography']",39.826,-121.603,0,"Paradise Lake
memories of Paradise 
.
.
.
.
.
#flyinghorsedesigncom #photographer #photooftheday #love #photography… https://t.co/SiI4TjJuk5"
Sun Dec 02 06:20:49 +0000 2018,1,"['campfire', 'paradiselove']",39.51877998,-121.567266,0,"Home sweet home. #campfire can’t take away love! #paradiselove @ Butte County, California https://t.co/qjOagEjB9Q"
Sun Dec 02 02:56:30 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Sat Dec 01 23:00:38 +0000 2018,5,[],39.71977,-121.81038,1,So proud of our @ChallengeCSUC students who spent their Saturday morning blessing a local shelter who has been doin… https://t.co/FIywRzcj4w
Sat Dec 01 20:16:06 +0000 2018,0,[],39.7617,-121.609,0,Ok folks the AUCTION starts TOMORROW 12/2! I donated a piece to help out a jeweler from Paradise CA who lost her ho… https://t.co/CEwrmY809C
Sat Dec 01 14:16:16 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Sat Dec 01 13:34:20 +0000 2018,0,"['starbucksnamefail', 'chico']",39.7263,-121.8358,0,"The best #starbucksnamefail tweet.  But it was a fail, was it? Gotta love those Petaluma fire fighters. #chico… https://t.co/4vMYqno1bC"
Sat Dec 01 04:27:21 +0000 2018,3,[],39.625395,-121.537,2,"Butte County Man’s House Survives Camp Fire, Flash Flooding https://t.co/DSKYF6W7H7"
Fri Nov 30 21:18:32 +0000 2018,0,['campfire'],39.7267987,-121.83741373,0,December 22 I’ll be at  https://t.co/EGnZaLAvgt.satori giving haircuts to #campfire survivors. If you would like a… https://t.co/PRFp8Pj8HC
Fri Nov 30 21:16:09 +0000 2018,0,['campfire'],39.7267987,-121.83741373,0,December 22 I’ll be at  https://t.co/EGnZaLAvgt.satori giving haircuts to #campfire survivors. If you would like a… https://t.co/6Wsg8gDk3v
Fri Nov 30 21:16:09 +0000 2018,0,['campfire'],39.7267987,-121.83741373,0,December 22 I’ll be at  https://t.co/EGnZaLAvgt.satori giving haircuts to #campfire survivors. If you would like a… https://t.co/6Wsg8gDk3v
Fri Nov 30 19:02:12 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Fri Nov 30 15:36:10 +0000 2018,0,"['paradiseca', 'paradise']",39.7617,-121.609,0,"remember Paradise....
Use link in bio to check out our website and stores

.
.
.
.
.
#paradiseca #paradise… https://t.co/BmuNUhnRdQ"
Fri Nov 30 15:36:06 +0000 2018,0,"['paradiseca', 'paradise']",39.7617,-121.609,0,"remember Paradise....
Use link in bio to check out our website and stores

.
.
.
.
.
#paradiseca #paradise… https://t.co/g1g6dPf1bZ"
Fri Nov 30 15:34:58 +0000 2018,0,"['paradiseca', 'paradise']",39.7617,-121.609,0,"remember Paradise....
Use link in bio to check out our website and stores

.
.
.
.
.
#paradiseca #paradise… https://t.co/Q7AekfOAtp"
Fri Nov 30 14:54:32 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72Dbcx
Fri Nov 30 08:08:39 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Thu Nov 29 22:20:42 +0000 2018,0,[],39.71,-121.77,0,"At 2:19 PM PST, 4 SE Chico [Butte Co, CA] COUNTY OFFICIAL reports FLOOD. FLOODING REPORTED AT HONEY RUN ROAD AND HO… https://t.co/rs1KWhXuxW"
Thu Nov 29 22:05:29 +0000 2018,0,[],39.67,-121.74,0,"At 1:58 PM PST, 6 NE Durham [Butte Co, CA] PUBLIC reports FLOOD. REPORTED AT HWY 99 AND NEAL ROAD, CHICO CA SHEET F… https://t.co/A5GirF1dsJ"
Thu Nov 29 19:45:40 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Thu Nov 29 17:01:05 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72Dbcx
Thu Nov 29 15:07:34 +0000 2018,0,"['instalike', 'adventure', 'photooftheday', 'beautiful', 'love', 'wanderlust', 'paradise']",39.738587,-121.821392,0,"Bidwell an urban oasis 
.
.
.
.
.
#instalike #adventure #photooftheday #beautiful #love #wanderlust #paradise… https://t.co/1NYlbmhr9e"
Thu Nov 29 15:05:02 +0000 2018,0,"['instalike', 'adventure', 'photooftheday', 'beautiful', 'love', 'wanderlust', 'paradise']",39.73559,-121.81702,0,"Bidwell an urban oasis 
.
.
.
.
.
#instalike #adventure #photooftheday #beautiful #love #wanderlust #paradise… https://t.co/co84fGcSp3"
Thu Nov 29 15:02:57 +0000 2018,0,"['instalike', 'adventure', 'photooftheday', 'beautiful', 'love', 'wanderlust', 'paradise']",39.73559,-121.81702,0,"Bidwell an urban oasis 
.
.
.
.
.
#instalike #adventure #photooftheday #beautiful #love #wanderlust #paradise… https://t.co/t7MAd3LmVK"
Thu Nov 29 14:59:44 +0000 2018,0,"['instalike', 'adventure', 'photooftheday', 'beautiful', 'love', 'wanderlust', 'paradise']",39.7263,-121.8358,0,"Bidwell an urban oasis 
.
.
.
.
.
#instalike #adventure #photooftheday #beautiful #love #wanderlust #paradise… https://t.co/XYhjja15eu"
Thu Nov 29 14:58:28 +0000 2018,0,"['instalike', 'adventure', 'photooftheday', 'beautiful', 'love', 'wanderlust', 'paradise']",39.7263,-121.8358,0,"Bidwell an urban oasis 
.
.
.
.
.
#instalike #adventure #photooftheday #beautiful #love #wanderlust #paradise… https://t.co/Fnc6fVuHGP"
Thu Nov 29 14:57:24 +0000 2018,0,"['instalike', 'adventure', 'photooftheday', 'beautiful', 'love', 'wanderlust', 'paradise']",39.7263,-121.8358,1,"Bidwell an urban oasis 
.
.
.
.
.
#instalike #adventure #photooftheday #beautiful #love #wanderlust #paradise… https://t.co/nmButg9Qho"
Thu Nov 29 07:58:25 +0000 2018,1,"['Paradise', 'Chico', 'CampFire']",39.72919,-121.83767,0,"🙌🏼 HANDS OF HOPE 🙏🏽

#Paradise special town council meeting held today in #Chico because of #CampFire devastation.… https://t.co/cUlhiYM7WX"
Thu Nov 29 07:44:35 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Wed Nov 28 22:01:28 +0000 2018,0,[],39.71432937,-121.80895102,0,"Pardon me if I speak with a drawl y’all for this next week, I’m lerrnin’ dem country tunes to help out victims of t… https://t.co/BIdMK0qMWY"
Wed Nov 28 19:19:18 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Wed Nov 28 18:49:15 +0000 2018,0,"['Thanksgiving', 'giving']",39.73166667,-121.84944444,0,We spent #Thanksgiving #giving! We decided to bypass the normal tradition of cooking at home and jumped in the car… https://t.co/C8sYppZSZe
Wed Nov 28 15:40:57 +0000 2018,0,"['photo', 'naturephotography', 'instatravel']",39.7617,-121.609,0,"THANKS TO ALL THE FIREFIGHTERS AND FIRST RESPONDERS 🙏❤️🌲
.
.
.
.
.
#photo #naturephotography #instatravel… https://t.co/WMutFb3xxM"
Wed Nov 28 15:39:55 +0000 2018,0,"['photo', 'naturephotography', 'instatravel']",39.7617,-121.609,0,"THANKS TO ALL THE FIREFIGHTERS AND FIRST RESPONDERS 🙏❤️🌲
.
.
.
.
.
#photo #naturephotography #instatravel… https://t.co/3FsDsB16Nh"
Wed Nov 28 15:38:46 +0000 2018,0,"['photo', 'naturephotography', 'instatravel']",39.7617,-121.609,0,"THANKS TO ALL THE FIREFIGHTERS AND FIRST RESPONDERS 🙏❤️🌲
.
.
.
.
.
#photo #naturephotography #instatravel… https://t.co/uUm0gxTyNB"
Wed Nov 28 15:33:35 +0000 2018,0,[],39.7617,-121.609,0,the last picture I took the morning the fire started...you could hear it coming...no time to get anything but your… https://t.co/knWQFoyyS1
Wed Nov 28 15:23:10 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72Dbcx
Wed Nov 28 15:21:15 +0000 2018,0,"['photo', 'naturephotography']",39.7617,-121.609,1,"these are some of the last pics taken before the fire 🔥 ... missing Paradise 
.
.
.
.
.
#photo #naturephotography… https://t.co/iGaEbYA9eV"
Wed Nov 28 15:16:44 +0000 2018,1,"['photo', 'naturephotography']",39.7617,-121.609,0,"these are some of the last pics taken before the fire 🔥 ... missing Paradise 
.
.
.
.
.
#photo #naturephotography… https://t.co/g2sh80s4Bp"
Wed Nov 28 15:14:15 +0000 2018,0,"['photo', 'naturephotography']",39.7617,-121.609,0,"these are some of the last pics taken before the fire 🔥 ... missing Paradise 
.
.
.
.
.
#photo #naturephotography… https://t.co/PBTM7ejLJ4"
Wed Nov 28 15:13:16 +0000 2018,0,"['photo', 'naturephotography']",39.7617,-121.609,0,"these are some of the last pics taken before the fire 🔥 ... missing Paradise 
.
.
.
.
.
#photo #naturephotography… https://t.co/Wqaf16Jzy3"
Wed Nov 28 15:12:19 +0000 2018,0,"['photo', 'naturephotography']",39.7617,-121.609,0,"these are some of the last pics taken before the fire 🔥 ... missing Paradise 
.
.
.
.
.
#photo #naturephotography… https://t.co/CWgeNjKakK"
Wed Nov 28 08:56:43 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Wed Nov 28 05:19:15 +0000 2018,1,[],39.73012,-121.84222,0,Today we were blessed to have lunch with Rev. Kay and Rich Miller-Todd. The sister Congregational church they're pa… https://t.co/cE43wVVmJV
Wed Nov 28 03:03:39 +0000 2018,2,[],39.7263,-121.8358,0,Thank you 18 Greens Apparel for your donation of 500 new polo shirts to the evacuees from the Camp Fire....Many wer… https://t.co/cQTMq1A7aL
Wed Nov 28 00:56:30 +0000 2018,1,[],39.72877612,-121.80597963,0,"Visiting with Hope and Parker at one of the disaster relief centers in Chico, California,  after the Camp fire in P… https://t.co/KkLC39yvEE"
Tue Nov 27 20:18:38 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Tue Nov 27 19:13:24 +0000 2018,2,['campfire'],39.7263,-121.8358,0,"💜 Grateful Tuesday 💜
.
Today I am grateful that 6 of my peeps survived the #campfire (there was way more than this,… https://t.co/fZHW0jn0Yw"
Tue Nov 27 18:10:46 +0000 2018,1,['CampFire'],39.7263,-121.8358,0,"The California #CampFire has displaced at least 30 foster youth, with numbers still being counted. At least 11 fost… https://t.co/qvueXUoxZG"
Tue Nov 27 17:39:42 +0000 2018,0,['CampFire'],39.7263,-121.8358,0,"For this year's unique holiday item, I am making these wood signs, and giving 50% of sales to #CampFire survivors.… https://t.co/Xhcpg4L06y"
Tue Nov 27 15:05:19 +0000 2018,0,[],39.7617,-121.609,0,AUCTION! Hey friends.  I donated a piece to help out a jeweler from Paradise CA who lost her home and studio in the… https://t.co/oK0MQLgyeB
Tue Nov 27 14:39:32 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72Dbcx
Tue Nov 27 07:10:45 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Tue Nov 27 06:17:04 +0000 2018,0,['campfire'],39.72651879,-121.83600931,0,"These are birds eye view of my family homes destroyed by the #campfire 💔 @ Chico, California Events https://t.co/3SSsyD28T1"
Mon Nov 26 22:30:41 +0000 2018,0,['campfire'],39.7263,-121.8358,0,"If you have a roof be grateful.  #campfire @ Chico, California https://t.co/yUB5u2BGBZ"
Mon Nov 26 20:39:41 +0000 2018,0,"['Wildfires', 'FEMA']",39.7617,-121.609,0,Demobilizing today from the Camp Fire. Americans really come together when disaster strikes. #Wildfires #FEMA… https://t.co/UdQoTRcIKP
Mon Nov 26 17:43:32 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Mon Nov 26 14:45:08 +0000 2018,0,[],39.64,-121.79777778,0,"Please help me raise $10,000 in 24 hours so we can buy back-to-school supplies for the 3,000 Paradise Unified stude… https://t.co/PsqSFYa3Fi"
Mon Nov 26 05:09:28 +0000 2018,0,"['Oroville', 'traffic']",39.64979,-121.5595,0,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic https://t.co/c3uk72lAkZ
Mon Nov 26 04:29:47 +0000 2018,0,['campfire'],39.7263,-121.8358,0,Please share this flyer.  And a heartfelt thank you to all my friends (old and new) who donated to the #campfire vi… https://t.co/IAFmPYB4Ts
Mon Nov 26 03:59:53 +0000 2018,3,[],39.71432937,-121.80895102,1,"With the help of your outstanding attendance (335 people!) we are donating $1,675 of last night’s performance to th… https://t.co/LWK0bENtpt"
